"State_FIPS_Code","County_FIPS_Code","CHSI_County_Name","CHSI_State_Name","CHSI_State_Abbr","Strata_ID_Number","No_Exercise","CI_Min_No_Exercise","CI_Max_No_Exercise","Few_Fruit_Veg","CI_Min_Fruit_Veg","CI_Max_Fruit_Veg","Obesity","Relative_Obesity","Obesity_Indicator","CI_Min_Obesity","CI_Max_Obesity","CI_Length_Obesity","Relative_CI_Length_Obesity","High_Blood_Pres","CI_Min_High_Blood_Pres","CI_Max_High_Blood_Pres","Smoker","CI_Min_Smoker","CI_Max_Smoker","Diabetes","CI_Min_Diabetes","CI_Max_Diabetes","Uninsured","Elderly_Medicare","Disabled_Medicare","Elderly_Disabled_Medicare_Ratio","Prim_Care_Phys_Rate","Prim_Care_Phys_PCT","Dentist_Rate","Community_Health_Center_Ind","HPSA_Ind"
"01","047","Dallas","Alabama","AL","52","31.5","23.9","39.1","85.9","79.4","92.4","36.6","1.5158299332016136","1","28.8","44.5","15.7","1.3530968684484874","","","","20.4","13.9","27","11.5","7.2","15.7","9242","6424","2302","2.790616854908775","101.4","0.1014","38.3","1","2"
"01","049","DeKalb","Alabama","AL","24","37","30.4","43.6","80.7","74","87.5","24.3","1.006411676961727","1","18.2","30.3","12.100000000000001","1.0428326183583885","35.3","25.8","44.8","19.1","13.6","24.6","7.8","4.6","11","12260","8411","2351","3.577626541897065","34.2","0.0342","19.3","1","2"
"01","051","Elmore","Alabama","AL","19","27.7","22","33.4","85","78.6","91.3","24.8","1.0271197361584705","1","19.2","30.4","11.2","0.9652665558358636","23","15.6","30.4","22.6","17.1","28.1","5.5","3.2","7.8","8320","7792","2167","3.595754499307799","33.8","0.0338","16.2","1","2"
"01","053","Escambia","Alabama","AL","51","34.3","26.3","42.3","87.1","80.5","93.6","33.7","1.3957231898605023","1","25.4","41.9","16.5","1.4220444795796205","","","","26.1","18.1","34.1","11.4","6.3","16.5","6490","5064","1476","3.430894308943089","57.8","0.0578","26.3","1","2"
"01","055","Etowah","Alabama","AL","6","34.1","29.6","38.5","81.4","76","86.8","27.1","1.12237680846349","1","22.8","31.3","8.5","0.7325683682682894","38.2","31.2","45.2","31.5","26.8","36.2","10.2","7.5","12.9","16180","15265","4508","3.38620230700976","72.7","0.0727","42.6","1","2"
"01","057","Fayette","Alabama","AL","63","","","","","","","32.7","1.3543070714670156","1","22.8","42.6","19.8","1.7064533754955447","","","","21.2","13","29.4","12.7","6.6","18.8","2358","2544","731","3.4801641586867307","60.3","0.0603","16.5","2","2"
"01","059","Franklin","Alabama","AL","49","28.9","19","38.9","85.5","75.7","95.3","","","","","","","","","","","","","","7.2","2.9","11.6","5977","4871","1320","3.690151515151515","35.8","0.0358","22.8","1","2"
"01","061","Geneva","Alabama","AL","64","","","","","","","34.5","1.4288560845752916","1","24.5","44.5","20","1.7236902782783279","","","","","","","9.4","4","14.7","4759","4173","1118","3.7325581395348837","35","0.035","15.5","2","1"
"01","063","Greene","Alabama","AL","75","","","","","","","","","","","","","","","","","","","","7.1","0","14.5","2384","1287","461","2.7917570498915403","31.1","0.031100000000000003","10.4","1","1"
"01","065","Hale","Alabama","AL","76","","","","","","","","","","","","","","","","","","","","5.2","0.3","10.1","3422","2358","825","2.8581818181818184","27.3","0.0273","5.5","1","1"
