State_FIPS_Code,County_FIPS_Code,CHSI_County_Name,CHSI_State_Name,CHSI_State_Abbr,Strata_ID_Number,No_Exercise,CI_Min_No_Exercise,CI_Max_No_Exercise,Few_Fruit_Veg,CI_Min_Fruit_Veg,CI_Max_Fruit_Veg,Obesity,Relative_Obesity,Obesity_Indicator,CI_Min_Obesity,CI_Max_Obesity,CI_Length_Obesity,Relative_CI_Length_Obesity,High_Blood_Pres,CI_Min_High_Blood_Pres,CI_Max_High_Blood_Pres,Smoker,CI_Min_Smoker,CI_Max_Smoker,Diabetes,CI_Min_Diabetes,CI_Max_Diabetes,Uninsured,Elderly_Medicare,Disabled_Medicare,Elderly_Disabled_Medicare_Ratio,Prim_Care_Phys_Rate,Prim_Care_Phys_PCT,Dentist_Rate,Community_Health_Center_Ind,HPSA_Ind
51,125,Nelson,Virginia,VA,60,,,,,,,,,,,,,,,,,,,,4.5,0,9.3,1527,2738,468,5.85042735,59.6,0.0596,19.9,1,2
51,127,New Kent,Virginia,VA,37,21.2,11.3,31,,,,,,,,,,,,,,,,,5.8,0.5,11.1,1230,1717,323,5.315789474,37.3,0.0373,24.8,2,2
51,131,Northampton,Virginia,VA,73,,,,,,,22.8,0.944287499,0,13.9,31.7,17.8,1.534084348,,,,21,12,29.9,9.9,3.7,16.1,2565,2553,390,6.546153846,155,0.155,22.1,1,2
51,133,Northumberland,Virginia,VA,60,,,,,,,,,,,,,,,,,,,,14.4,5.2,23.7,1620,2840,262,10.83969466,69.9,0.0699,31.1,2,1
51,135,Nottoway,Virginia,VA,73,,,,,,,,,,,,,,,,,,,,10.2,4.5,15.9,2077,2618,503,5.204771372,147.8,0.1478,38.6,1,2
51,137,Orange,Virginia,VA,55,30.1,21,39.1,,,,24.5,1.014694901,1,16.4,32.7,16.3,1.404807577,,,,26.4,17.8,35,5.1,1.7,8.6,2556,5341,725,7.366896552,72.7,0.0727,19.8,2,2
51,139,Page,Virginia,VA,60,23.1,14,32.1,,,,21.4,0.886304934,0,12.5,30.3,17.8,1.534084348,22.4,12.5,32.4,,,,7.3,1.9,12.7,2523,3533,732,4.826502732,37.8,0.0378,21,2,1
51,141,Patrick,Virginia,VA,60,,,,,,,13.7,0.567400822,0,5.8,21.7,15.9,1.370333771,,,,21.4,12.3,30.5,8.9,2.5,15.2,2248,3158,688,4.590116279,26,0.026,15.6,2,1
51,143,Pittsylvania,Virginia,VA,21,32,25.8,38.3,80.1,73.9,86.3,30.9,1.279758058,1,24.7,37.1,12.4,1.068687973,32.2,25.7,38.8,27.3,21.4,33.3,10.6,6.8,14.3,6732,6786,1618,4.194066749,9.7,0.0097,9.7,2,2
51,145,Powhatan,Virginia,VA,37,,,,,,,,,,,,,,,,,,,,5.8,0.5,11.1,1508,2274,406,5.600985222,41.4,0.0414,11.3,2,2
